root,leaf,n
(null),(null),732
arts_and_entertainment,art_gallery,396
arts_and_entertainment,music_venue,113
arts_and_entertainment,arts_and_entertainment,91
arts_and_entertainment,theatre_venue,61
arts_and_entertainment,dance_club,57
arts_and_entertainment,event_venue,50
arts_and_entertainment,museum,49
arts_and_entertainment,performing_arts_venue,49
arts_and_entertainment,movie_theater,37
arts_and_entertainment,history_museum,29
arts_and_entertainment,social_club,24
arts_and_entertainment,art_museum,20
arts_and_entertainment,comedy_club,18
arts_and_entertainment,adult_entertainment_venue,14
arts_and_entertainment,amusement_park,13
arts_and_entertainment,stadium_arena,13
arts_and_entertainment,karaoke_venue,12
arts_and_entertainment,psychic_advising,11
arts_and_entertainment,arcade,11
arts_and_entertainment,escape_room,11
arts_and_entertainment,festival_venue,10
arts_and_entertainment,auditorium,9
arts_and_entertainment,street_art,9
arts_and_entertainment,science_museum,9
arts_and_entertainment,astrological_advising,8
arts_and_entertainment,aquarium,8
arts_and_entertainment,jazz_and_blues_venue,7
arts_and_entertainment,choir,6
arts_and_entertainment,baseball_stadium,5
arts_and_entertainment,sculpture_statue,4
arts_and_entertainment,planetarium,4
arts_and_entertainment,childrens_museum,4
arts_and_entertainment,opera_and_ballet,4
arts_and_entertainment,strip_club,4
arts_and_entertainment,fairgrounds,3
arts_and_entertainment,ticket_office_or_booth,3
arts_and_entertainment,lottery_vendor,3
arts_and_entertainment,veterans_organization,3
arts_and_entertainment,virtual_reality_center,3
arts_and_entertainment,observatory,3
arts_and_entertainment,glass_blowing_venue,3
arts_and_entertainment,design_museum,2
arts_and_entertainment,paint_your_own_pottery_venue,2
arts_and_entertainment,zoo,2
arts_and_entertainment,soccer_stadium,2
arts_and_entertainment,photography_museum,1
arts_and_entertainment,tennis_stadium,1
arts_and_entertainment,petting_zoo,1
arts_and_entertainment,drive_in_theater,1
arts_and_entertainment,contemporary_art_museum,1
arts_and_entertainment,cartooning_museum,1
arts_and_entertainment,dinner_theater,1
arts_and_entertainment,asian_art_museum,1
arts_and_entertainment,fraternal_organization,1
arts_and_entertainment,state_museum,1
arts_and_entertainment,wildlife_sanctuary,1
arts_and_entertainment,bingo_hall,1
arts_and_entertainment,casino,1
arts_and_entertainment,football_stadium,1
arts_and_entertainment,circus_venue,1
community_and_government,social_or_community_service,479
community_and_government,charity_organization,345
community_and_government,government_office,121
